value_decimal,initial_num_gates,lowest_gates,delta_gates
6376,16,14,2
6313,17,15,2
6390,13,12,1
6279,17,14,3
6535,16,16,0
6393,17,15,2
6557,11,9,2
6377,16,15,1
6507,14,14,0
6547,10,9,1
6556,11,10,1
6559,14,11,3
6494,15,15,0
6562,13,10,3
6567,15,13,2
6569,12,11,1
6568,14,12,2
6579,8,7,1
6578,15,12,3
6585,11,9,2
6586,13,12,1
6369,17,15,2
6550,17,16,1
6310,17,19,-2
6589,17,14,3
6580,17,16,1
6422,14,13,1
6581,14,13,1
6623,12,9,3
6616,12,11,1
6588,13,12,1
6630,12,11,1
6634,11,10,1
6593,14,10,4
6640,11,11,0
6649,13,9,4
6641,15,12,3
6648,15,11,4
6642,14,13,1
6637,16,15,1
6834,11,11,0
6691,12,12,0
6780,12,12,0
6856,10,10,0
6627,16,15,1
6831,13,11,2
6847,10,9,1
6827,13,11,2
6833,12,11,1
6844,12,12,0
6864,12,9,3
6821,14,11,3
6633,16,11,5
6841,15,14,1
6848,14,8,6
6763,16,15,1
6823,15,15,0
6839,16,12,4
6859,16,16,0
6862,15,11,4
6824,18,16,2
6869,10,9,1
6868,17,14,3
6863,14,11,3
6865,17,15,2
6817,14,13,1
6878,13,9,4
6876,15,10,5
6871,14,13,1
6911,11,8,3
6875,17,15,2
6894,13,9,4
6885,12,11,1
6883,16,15,1
6873,13,13,0
6870,16,14,2
6908,14,11,3
7014,13,12,1
6901,14,12,2
7090,15,10,5
6849,17,17,0
6900,13,12,1
6891,16,15,1
7120,14,11,3
7089,12,10,2
6974,15,14,1
6949,16,12,4
7098,12,10,2
7096,14,11,3
7112,12,10,2
7100,16,12,4
7092,14,13,1
7093,12,11,1
7124,13,13,0
7131,10,10,0
7121,15,10,5
6905,17,15,2
7102,15,13,2
7097,15,12,3
7128,16,13,3
7101,14,14,0
7132,13,11,2
7140,10,9,1
7129,14,12,2
7152,9,9,0
7134,14,14,0
7138,14,13,1
7126,18,16,2
7150,11,11,0
7156,12,11,1
7153,13,9,4
7094,15,15,0
7163,11,8,3
7162,12,10,2
7159,13,10,3
7127,15,12,3
7160,13,10,3
7143,15,14,1
7164,15,12,3
7145,19,17,2
7154,17,14,3
7149,18,14,4
7166,16,13,3
7300,13,13,0
7165,16,11,5
7158,18,16,2
7557,13,12,1
7364,12,12,0
7371,16,16,0
7416,13,12,1
7656,13,13,0
7402,14,13,1
7407,13,13,0
7669,12,8,4
7381,13,12,1
7826,15,11,4
7838,14,13,1
7660,12,11,1
7299,16,15,1
7366,17,15,2
7848,15,12,3
7540,14,14,0
7365,14,11,3
7403,15,13,2
7555,14,14,0
7393,14,12,2
7876,13,13,0
7362,17,17,0
7649,16,14,2
7825,18,16,2
7904,14,12,2
7912,17,16,1
7934,9,9,0
7906,15,13,2
7905,14,11,3
7918,9,8,1
7922,13,12,1
7891,15,14,1
7926,14,12,2
7930,9,9,0
7921,13,12,1
7923,14,13,1
8176,9,8,1
7931,15,15,0
7927,17,13,4
8121,12,12,0
8139,16,14,2
7910,17,17,0
7914,15,14,1
8179,11,8,3
8052,15,13,2
8183,14,12,2
8177,10,8,2
8182,13,13,0
8357,10,8,2
8184,12,11,1
7849,18,17,1
8186,13,12,1
7915,17,14,3
8201,17,12,5
8423,13,10,3
8324,13,10,3
8323,9,9,0
8185,14,12,2
7911,18,16,2
8190,12,11,1
8187,14,10,4
8803,10,9,1
8577,13,12,1
8385,13,12,1
8897,16,13,3
8342,13,13,0
8758,11,10,1
8858,11,12,-1
8602,13,13,0
9090,13,11,2
8873,12,13,-1
9348,12,11,1
9381,12,10,2
9210,10,9,1
9016,12,12,0
8980,14,13,1
9138,12,10,2
9455,12,12,0
9154,12,11,1
9423,13,13,0
9392,14,11,3
9585,12,12,0
9306,16,13,3
9497,10,10,0
9442,14,12,2
9419,15,14,1
9421,16,13,3
9394,15,15,0
9225,19,16,3
9042,12,12,0
9636,11,13,-2
9601,13,11,2
9491,12,12,0
9657,12,11,1
9918,14,14,0
9968,11,11,0
9374,16,15,1
9872,16,13,3
9686,16,15,1
10332,10,10,0
10137,14,13,1
9611,13,13,0
9666,15,13,2
10333,9,9,0
9687,14,15,-1
9967,14,11,3
9922,14,11,3
10368,11,9,2
10193,12,12,0
10264,14,13,1
10378,13,9,4
10326,18,13,5
10109,15,13,2
9939,16,15,1
10383,13,12,1
10371,14,11,3
9833,17,14,3
10369,19,15,4
10131,12,11,1
10415,9,10,-1
10370,15,10,5
10372,15,14,1
10375,11,10,1
10388,16,13,3
10428,13,10,3
10411,9,9,0
10396,13,11,2
