value_decimal,initial_num_gates,lowest_gates,delta_gates
4087,10,9,1
3809,14,11,3
3478,18,17,1
4086,14,12,2
4222,13,10,3
4022,14,13,1
3817,15,15,0
4103,12,11,1
4089,14,11,3
4091,11,10,1
4201,13,13,0
4333,14,13,1
4094,12,11,1
4290,13,11,2
5064,11,9,2
4929,12,10,2
5042,13,10,3
5174,11,9,2
4653,13,12,1
5196,12,11,1
5245,12,11,1
4837,14,13,1
4993,15,10,5
5291,11,11,0
5269,12,12,0
4809,18,13,5
4847,15,14,1
4230,20,16,4
4777,14,14,0
5097,14,13,1
5442,12,12,0
5270,11,10,1
4801,14,13,1
4841,18,17,1
5354,11,12,-1
5318,14,10,4
4916,13,13,0
5025,11,12,-1
5507,14,13,1
5464,15,14,1
5674,12,9,3
5320,15,14,1
5730,14,15,-1
5666,13,11,2
5764,13,10,3
5782,13,13,0
5802,12,11,1
5759,15,15,0
5786,12,10,2
5742,16,16,0
5822,12,10,2
5783,16,17,-1
5743,18,15,3
5770,15,14,1
5736,17,17,0
5820,14,12,2
5806,14,14,0
5791,16,13,3
5800,18,12,6
5761,16,15,1
5763,17,18,-1
5823,13,12,1
5737,21,15,6
5811,12,11,1
5739,19,17,2
5834,16,16,0
5827,12,11,1
5821,15,14,1
5769,22,14,8
5864,18,14,4
5861,15,13,2
5853,15,15,0
5826,19,15,4
5884,13,12,1
5887,14,11,3
6024,13,8,5
5773,16,16,0
5871,17,15,2
6003,12,11,1
5886,13,12,1
5867,16,16,0
6019,17,12,5
6015,14,10,4
6031,15,13,2
6039,13,10,3
5992,16,12,4
6037,14,13,1
5950,14,14,0
6026,16,11,5
6010,14,11,3
6047,10,10,0
6036,15,14,1
6027,16,13,3
6040,16,13,3
6044,12,12,0
6056,10,9,1
6017,15,15,0
5865,16,14,2
6014,17,15,2
6038,17,17,0
6041,15,12,3
6059,14,11,3
6069,13,13,0
6092,11,9,2
6076,16,13,3
6046,15,15,0
6109,11,10,1
6120,12,11,1
6078,14,13,1
6057,16,15,1
6073,17,14,3
6124,12,12,0
6123,14,13,1
6280,9,8,1
6142,16,13,3
6256,14,11,3
6184,13,12,1
6296,11,8,3
6272,15,13,2
6141,13,13,0
6081,15,14,1
6208,15,11,4
6298,13,10,3
6274,18,18,0
6180,13,10,3
6121,17,16,1
6299,15,9,6
6283,14,12,2
6240,19,17,2
6281,15,12,3
6291,15,12,3
6273,16,11,5
6287,17,13,4
6307,12,12,0
6320,11,10,1
6181,15,13,2
6312,13,11,2
6314,13,13,0
6303,16,12,4
6302,15,14,1
6275,13,11,2
6364,10,9,1
6335,12,12,0
6332,16,11,5
6329,16,13,3
6351,13,13,0
6334,17,13,4
6375,14,11,3
6279,17,17,0
6384,13,10,3
6356,16,14,2
6370,12,12,0
6399,13,9,4
6313,17,13,4
6394,11,11,0
6353,14,13,1
6376,16,14,2
6544,11,9,2
6363,14,14,0
6398,15,12,3
6324,15,14,1
6545,9,9,0
6347,15,15,0
6393,17,13,4
6494,15,15,0
6310,17,15,2
6390,13,12,1
6547,10,10,0
6535,16,16,0
6377,16,15,1
6562,13,10,3
6557,11,9,2
6507,14,14,0
6559,14,11,3
6568,14,12,2
6556,11,11,0
6567,15,13,2
6585,11,9,2
6578,15,12,3
6579,8,7,1
6586,13,13,0
6369,17,17,0
6569,12,11,1
6580,17,16,1
6422,14,13,1
6623,12,9,3
6581,14,14,0
6550,17,17,0
6616,12,12,0
6589,17,14,3
6630,12,11,1
6593,14,10,4
6634,11,10,1
6640,11,13,-2
6649,13,10,3
6641,15,10,5
6588,13,12,1
6642,14,13,1
6627,16,15,1
6648,15,12,3
6633,16,11,5
6834,11,11,0
6637,16,15,1
6847,10,9,1
6691,12,12,0
6780,12,12,0
6856,10,10,0
6831,13,11,2
6833,12,11,1
6841,15,14,1
6827,13,13,0
6848,14,8,6
6864,12,9,3
6844,12,12,0
6839,16,10,6
6823,15,15,0
6862,15,11,4
6821,14,11,3
6869,10,9,1
6763,16,16,0
6817,14,11,3
6863,14,11,3
6824,18,16,2
6878,13,9,4
6859,16,16,0
6868,17,14,3
6885,12,11,1
6876,15,10,5
6911,11,8,3
6883,16,15,1
6871,14,14,0
6894,13,13,0
6875,17,15,2
6901,14,12,2
6870,16,14,2
6873,13,14,-1
6900,13,12,1
7014,13,12,1
6908,14,11,3
6865,17,14,3
7089,12,10,2
7096,14,11,3
7090,15,10,5
6974,15,14,1
7098,12,10,2
7120,14,11,3
6891,16,16,0
7112,12,10,2
7093,12,11,1
6905,17,15,2
7124,13,13,0
7092,14,13,1
7097,15,13,2
7121,15,12,3
6849,17,15,2
7131,10,10,0
7100,16,13,3
7126,18,18,0
7140,10,9,1
7102,15,13,2
7101,14,14,0
6949,16,14,2
7132,13,11,2
7129,14,12,2
7150,11,11,0
7152,9,9,0
7134,14,14,0
7153,13,10,3
7094,15,15,0
7156,12,11,1
7138,14,15,-1
7143,15,14,1
7127,15,12,3
7163,11,8,3
7128,16,15,1
7162,12,10,2
7160,13,10,3
7159,13,12,1
7145,19,19,0
7164,15,12,3
7154,17,14,3
7166,16,13,3
7300,13,13,0
7165,16,15,1
7149,18,16,2
7416,13,11,2
7402,14,13,1
7371,16,16,0
7158,18,16,2
7557,13,12,1
7656,13,13,0
7364,12,12,0
7407,13,13,0
7669,12,8,4
7660,12,12,0
7381,13,13,0
7299,16,15,1
7838,14,13,1
7365,14,11,3
7366,17,15,2
7848,15,12,3
7649,16,15,1
7876,13,13,0
7826,15,15,0
7403,15,13,2
7362,17,16,1
7906,15,15,0
7393,14,12,2
7849,18,17,1
7825,18,16,2
7891,15,15,0
7904,14,12,2
7540,14,13,1
7912,17,16,1
7926,14,12,2
7934,9,9,0
7922,13,12,1
7555,14,14,0
7905,14,11,3
7914,15,14,1
7918,9,8,1
7930,9,9,0
7921,13,12,1
7910,17,17,0
8176,9,8,1
7927,17,15,2
7923,14,13,1
8139,16,12,4
